collection,label,id
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Agroforestry,http://w3id.org/glosis/model/codelists/landUseClassValueCode-MF
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Agropastoralism,http://w3id.org/glosis/model/codelists/landUseClassValueCode-MP
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Animal husbandry,http://w3id.org/glosis/model/codelists/landUseClassValueCode-H
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Animal production,http://w3id.org/glosis/model/codelists/landUseClassValueCode-HI1
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Annual field cropping,http://w3id.org/glosis/model/codelists/landUseClassValueCode-AA
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Clear felling,http://w3id.org/glosis/model/codelists/landUseClassValueCode-FN2
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Crop agriculture (cropping),http://w3id.org/glosis/model/codelists/landUseClassValueCode-A
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Dairying,http://w3id.org/glosis/model/codelists/landUseClassValueCode-HI2
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Degradation control,http://w3id.org/glosis/model/codelists/landUseClassValueCode-PD
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Disposal sites,http://w3id.org/glosis/model/codelists/landUseClassValueCode-SD
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Excavations,http://w3id.org/glosis/model/codelists/landUseClassValueCode-SX
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Extensive grazing,http://w3id.org/glosis/model/codelists/landUseClassValueCode-HE
http://w3id.org/glosis/model/codelists/landUseClassValueCode,F = Forestry,http://w3id.org/glosis/model/codelists/landUseClassValueCode-F
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Fallow system cultivation,http://w3id.org/glosis/model/codelists/landUseClassValueCode-AA2
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Industrial use,http://w3id.org/glosis/model/codelists/landUseClassValueCode-SI
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Intensive grazing,http://w3id.org/glosis/model/codelists/landUseClassValueCode-HI
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Irrigated cultivation,http://w3id.org/glosis/model/codelists/landUseClassValueCode-AA6
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Irrigated cultivation,http://w3id.org/glosis/model/codelists/landUseClassValueCode-AP2
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Irrigated shrub crop cultivation,http://w3id.org/glosis/model/codelists/landUseClassValueCode-AT4
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Irrigated tree crop cultivation,http://w3id.org/glosis/model/codelists/landUseClassValueCode-AT2
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Ley system cultivation,http://w3id.org/glosis/model/codelists/landUseClassValueCode-AA3
http://w3id.org/glosis/model/codelists/landUseClassValueCode,M = Mixed farming,http://w3id.org/glosis/model/codelists/landUseClassValueCode-M
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Military area,http://w3id.org/glosis/model/codelists/landUseClassValueCode-Y
http://w3id.org/glosis/model/codelists/landUseClassValueCode,Natural forest and woodland,http://w3id.org/glosis/model/codelists/landUseClassValueCode-FN
