collection,label,id
http://w3id.org/glosis/model/codelists/lithologyValueCode,(green)schist,http://w3id.org/glosis/model/codelists/lithologyValueCode-MB2
http://w3id.org/glosis/model/codelists/lithologyValueCode,acid igneous,http://w3id.org/glosis/model/codelists/lithologyValueCode-IA
http://w3id.org/glosis/model/codelists/lithologyValueCode,acid metamorphic,http://w3id.org/glosis/model/codelists/lithologyValueCode-MA
http://w3id.org/glosis/model/codelists/lithologyValueCode,amphibolite,http://w3id.org/glosis/model/codelists/lithologyValueCode-MB5
http://w3id.org/glosis/model/codelists/lithologyValueCode,"andesite, trachyte, phonolite",http://w3id.org/glosis/model/codelists/lithologyValueCode-II1
http://w3id.org/glosis/model/codelists/lithologyValueCode,"anhydrite, gypsum",http://w3id.org/glosis/model/codelists/lithologyValueCode-SE1
http://w3id.org/glosis/model/codelists/lithologyValueCode,anthropogenic/technogenic,http://w3id.org/glosis/model/codelists/lithologyValueCode-UA
http://w3id.org/glosis/model/codelists/lithologyValueCode,basalt,http://w3id.org/glosis/model/codelists/lithologyValueCode-IB2
http://w3id.org/glosis/model/codelists/lithologyValueCode,basic igneous,http://w3id.org/glosis/model/codelists/lithologyValueCode-IB
http://w3id.org/glosis/model/codelists/lithologyValueCode,basic metamorphic,http://w3id.org/glosis/model/codelists/lithologyValueCode-MB
http://w3id.org/glosis/model/codelists/lithologyValueCode,"bauxite, laterite",http://w3id.org/glosis/model/codelists/lithologyValueCode-UR1
http://w3id.org/glosis/model/codelists/lithologyValueCode,"carbonatic, organic",http://w3id.org/glosis/model/codelists/lithologyValueCode-SO
http://w3id.org/glosis/model/codelists/lithologyValueCode,clastic sediments,http://w3id.org/glosis/model/codelists/lithologyValueCode-SC
http://w3id.org/glosis/model/codelists/lithologyValueCode,clay,http://w3id.org/glosis/model/codelists/lithologyValueCode-UU1
http://w3id.org/glosis/model/codelists/lithologyValueCode,clay and silt,http://w3id.org/glosis/model/codelists/lithologyValueCode-UM2
http://w3id.org/glosis/model/codelists/lithologyValueCode,"clay, silt and loam",http://w3id.org/glosis/model/codelists/lithologyValueCode-UF2
http://w3id.org/glosis/model/codelists/lithologyValueCode,"coals, bitumen and related rocks",http://w3id.org/glosis/model/codelists/lithologyValueCode-SO3
http://w3id.org/glosis/model/codelists/lithologyValueCode,colluvial,http://w3id.org/glosis/model/codelists/lithologyValueCode-UC
http://w3id.org/glosis/model/codelists/lithologyValueCode,"conglomerate, breccia",http://w3id.org/glosis/model/codelists/lithologyValueCode-SC1
http://w3id.org/glosis/model/codelists/lithologyValueCode,diorite,http://w3id.org/glosis/model/codelists/lithologyValueCode-IA1
http://w3id.org/glosis/model/codelists/lithologyValueCode,diorite-syenite,http://w3id.org/glosis/model/codelists/lithologyValueCode-II2
http://w3id.org/glosis/model/codelists/lithologyValueCode,dolerite,http://w3id.org/glosis/model/codelists/lithologyValueCode-IB3
http://w3id.org/glosis/model/codelists/lithologyValueCode,eclogite,http://w3id.org/glosis/model/codelists/lithologyValueCode-MB6
http://w3id.org/glosis/model/codelists/lithologyValueCode,eolian,http://w3id.org/glosis/model/codelists/lithologyValueCode-UE
http://w3id.org/glosis/model/codelists/lithologyValueCode,evaporites,http://w3id.org/glosis/model/codelists/lithologyValueCode-SE
http://w3id.org/glosis/model/codelists/lithologyValueCode,fluvial,http://w3id.org/glosis/model/codelists/lithologyValueCode-UF
http://w3id.org/glosis/model/codelists/lithologyValueCode,gabbro,http://w3id.org/glosis/model/codelists/lithologyValueCode-IB1
http://w3id.org/glosis/model/codelists/lithologyValueCode,glacial,http://w3id.org/glosis/model/codelists/lithologyValueCode-UG
http://w3id.org/glosis/model/codelists/lithologyValueCode,gneiss rich in Fe–Mg minerals,http://w3id.org/glosis/model/codelists/lithologyValueCode-MB3
http://w3id.org/glosis/model/codelists/lithologyValueCode,"gneiss, migmatite",http://w3id.org/glosis/model/codelists/lithologyValueCode-MA2
http://w3id.org/glosis/model/codelists/lithologyValueCode,grano-diorite,http://w3id.org/glosis/model/codelists/lithologyValueCode-IA2
http://w3id.org/glosis/model/codelists/lithologyValueCode,"gravel, broken rock",http://w3id.org/glosis/model/codelists/lithologyValueCode-UU5
http://w3id.org/glosis/model/codelists/lithologyValueCode,gravelly sand,http://w3id.org/glosis/model/codelists/lithologyValueCode-UU4
http://w3id.org/glosis/model/codelists/lithologyValueCode,groundwater-fed bog peat,http://w3id.org/glosis/model/codelists/lithologyValueCode-UO2
http://w3id.org/glosis/model/codelists/lithologyValueCode,halite,http://w3id.org/glosis/model/codelists/lithologyValueCode-SE2
http://w3id.org/glosis/model/codelists/lithologyValueCode,igneous rock,http://w3id.org/glosis/model/codelists/lithologyValueCode-I
http://w3id.org/glosis/model/codelists/lithologyValueCode,ignimbrite,http://w3id.org/glosis/model/codelists/lithologyValueCode-IP4
http://w3id.org/glosis/model/codelists/lithologyValueCode,"ilmenite, magnetite, ironstone, serpentine",http://w3id.org/glosis/model/codelists/lithologyValueCode-IU3
http://w3id.org/glosis/model/codelists/lithologyValueCode,industrial/artisanal deposits,http://w3id.org/glosis/model/codelists/lithologyValueCode-UA2
http://w3id.org/glosis/model/codelists/lithologyValueCode,intermediate igneous,http://w3id.org/glosis/model/codelists/lithologyValueCode-II
http://w3id.org/glosis/model/codelists/lithologyValueCode,ironstone,http://w3id.org/glosis/model/codelists/lithologyValueCode-SC5
http://w3id.org/glosis/model/codelists/lithologyValueCode,kryogenic,http://w3id.org/glosis/model/codelists/lithologyValueCode-UK
http://w3id.org/glosis/model/codelists/lithologyValueCode,lacustrine,http://w3id.org/glosis/model/codelists/lithologyValueCode-UL
http://w3id.org/glosis/model/codelists/lithologyValueCode,lahar,http://w3id.org/glosis/model/codelists/lithologyValueCode-UC2
http://w3id.org/glosis/model/codelists/lithologyValueCode,"limestone, other carbonate rock",http://w3id.org/glosis/model/codelists/lithologyValueCode-SO1
http://w3id.org/glosis/model/codelists/lithologyValueCode,loam and silt,http://w3id.org/glosis/model/codelists/lithologyValueCode-UU2
