name,guid,definition,values_count,values_preview,values_file
weatherConditions,d0a10f1a-d94a-468a-8fed-13521650e943,http://w3id.org/glosis/model/codelists/weatherConditionsValueCode,12,extremely rainy time or snow melting; heavier rain for some days or rainstorm in the last 24 hours; no rain in the last 24 hours,values/weatherConditionsValueCode.csv
coatingAbundance,627db445-b83f-489e-908b-0e92c5b4a472,http://w3id.org/glosis/model/codelists/coatingAbundanceValueCode,7,Abundant; Common; Dominant,values/coatingAbundanceValueCode.csv
weathering,d6ce95a9-b748-4845-84e9-fe8482335360,http://w3id.org/glosis/model/codelists/weatheringValueCode,3,Fresh or slightly weathered; Strongly weathered; Weathered,values/weatheringValueCode.csv
coatingContrast,f7bf91b9-865b-4126-888a-e7e4d689f9f2,http://w3id.org/glosis/model/codelists/coatingContrastValueCode,3,Distinct; Faint; Prominent,values/coatingContrastValueCode.csv
coatingForm,504817cb-8115-47db-aca2-a13170cc0781,http://w3id.org/glosis/model/codelists/coatingFormValueCode,6,"Continuous; Continuous irregular (non-uniform, heterogeneous); Dendroidal",values/coatingFormValueCode.csv
biologicalFeatures,3ad10ad2-d7ba-4f99-b5b1-32eb1d9bde1e,http://w3id.org/glosis/model/codelists/biologicalFeaturesValueCode,9,Artefacts; Burrows (unspecified); Charcoal,values/biologicalFeaturesValueCode.csv
coatingLocation,05dcae1a-3230-49a9-8994-be7c84dc4a02,http://w3id.org/glosis/model/codelists/coatingLocationValueCode,8,Bridges between sand grains; Coarse fragments; Horizontal pedfaces,values/coatingLocationValueCode.csv
coatingNature,ac965fe5-f26f-470e-b19a-ce30f88c519e,http://w3id.org/glosis/model/codelists/coatingNatureValueCode,18,Calcium carbonate; Clay; Clay and humus (organic matter),values/coatingNatureValueCode.csv
consistenceDry,6560d880-e7f8-4942-b6e5-95c720d2fd4b,http://w3id.org/glosis/model/codelists/consistenceDryValueCode,9,Extremely hard; Hard; hard to very hard,values/consistenceDryValueCode.csv
consistenceMoist,02b78802-dd53-4c9f-a6df-31adc2a81f6e,http://w3id.org/glosis/model/codelists/consistenceMoistValueCode,6,Extremely firm; Firm; Friable,values/consistenceMoistValueCode.csv
