definition,file,count
http://w3id.org/glosis/model/codelists/biologicalAbundanceValueCode,values/biologicalAbundanceValueCode.csv,4
http://w3id.org/glosis/model/codelists/biologicalFeaturesValueCode,values/biologicalFeaturesValueCode.csv,9
http://w3id.org/glosis/model/codelists/bleachedSandValueCode,values/bleachedSandValueCode.csv,5
http://w3id.org/glosis/model/codelists/boundaryClassificationValueCode,values/boundaryClassificationValueCode.csv,3
http://w3id.org/glosis/model/codelists/boundaryDistinctnessValueCode,values/boundaryDistinctnessValueCode.csv,4
http://w3id.org/glosis/model/codelists/boundaryTopographyValueCode,values/boundaryTopographyValueCode.csv,4
http://w3id.org/glosis/model/codelists/bulkDensityMineralValueCode,values/bulkDensityMineralValueCode.csv,5
http://w3id.org/glosis/model/codelists/bulkDensityPeatValueCode,values/bulkDensityPeatValueCode.csv,5
http://w3id.org/glosis/model/codelists/carbonatesContentValueCode,values/carbonatesContentValueCode.csv,5
http://w3id.org/glosis/model/codelists/carbonatesFormsValueCode,values/carbonatesFormsValueCode.csv,7
http://w3id.org/glosis/model/codelists/cementationContinuityValueCode,values/cementationContinuityValueCode.csv,3
http://w3id.org/glosis/model/codelists/cementationDegreeValueCode,values/cementationDegreeValueCode.csv,6
http://w3id.org/glosis/model/codelists/cementationFabricValueCode,values/cementationFabricValueCode.csv,4
http://w3id.org/glosis/model/codelists/cementationNatureValueCode,values/cementationNatureValueCode.csv,13
http://w3id.org/glosis/model/codelists/coatingAbundanceValueCode,values/coatingAbundanceValueCode.csv,7
http://w3id.org/glosis/model/codelists/coatingContrastValueCode,values/coatingContrastValueCode.csv,3
http://w3id.org/glosis/model/codelists/coatingFormValueCode,values/coatingFormValueCode.csv,6
http://w3id.org/glosis/model/codelists/coatingLocationValueCode,values/coatingLocationValueCode.csv,8
http://w3id.org/glosis/model/codelists/coatingNatureValueCode,values/coatingNatureValueCode.csv,18
http://w3id.org/glosis/model/codelists/consistenceDryValueCode,values/consistenceDryValueCode.csv,9
http://w3id.org/glosis/model/codelists/consistenceMoistValueCode,values/consistenceMoistValueCode.csv,6
http://w3id.org/glosis/model/codelists/contrastValueCode,values/contrastValueCode.csv,3
http://w3id.org/glosis/model/codelists/cracksDepthValueCode,values/cracksDepthValueCode.csv,4
http://w3id.org/glosis/model/codelists/cracksDistanceValueCode,values/cracksDistanceValueCode.csv,5
http://w3id.org/glosis/model/codelists/cracksWidthValueCode,values/cracksWidthValueCode.csv,5
http://w3id.org/glosis/model/codelists/cropClassValueCode,values/cropClassValueCode.csv,57
http://w3id.org/glosis/model/codelists/erosionActivityPeriodValueCode,values/erosionActivityPeriodValueCode.csv,5
http://w3id.org/glosis/model/codelists/erosionAreaAffectedValueCode,values/erosionAreaAffectedValueCode.csv,6
http://w3id.org/glosis/model/codelists/erosionCategoryValueCode,values/erosionCategoryValueCode.csv,15
http://w3id.org/glosis/model/codelists/erosionDegreeValueCode,values/erosionDegreeValueCode.csv,4
http://w3id.org/glosis/model/codelists/erosionTotalAreaAffectedValueCode,values/erosionTotalAreaAffectedValueCode.csv,6
http://w3id.org/glosis/model/codelists/fragmentCoverValueCode,values/fragmentCoverValueCode.csv,7
http://w3id.org/glosis/model/codelists/fragmentsClassValueCode,values/fragmentsClassValueCode.csv,10
http://w3id.org/glosis/model/codelists/fragmentsSizeValueCode,values/fragmentsSizeValueCode.csv,6
http://w3id.org/glosis/model/codelists/gypsumContentValueCode,values/gypsumContentValueCode.csv,5
http://w3id.org/glosis/model/codelists/gypsumFormsValueCode,values/gypsumFormsValueCode.csv,4
http://w3id.org/glosis/model/codelists/humanInfluenceClassValueCode,values/humanInfluenceClassValueCode.csv,35
http://w3id.org/glosis/model/codelists/landformComplexValueCode,values/landformComplexValueCode.csv,9
http://w3id.org/glosis/model/codelists/landUseClassValueCode,values/landUseClassValueCode.csv,50
